Title,Rating,Studio,Adaptation,Genre,Duration,Show Type,No of Episodes,Year of Release,Description
Lord of Vermilion: The Crimson King,2.69 Mediocre,"Tear Studio Co., Ltd., asread",Video Game,Action,~23min,TV-Series,12,2018,"Tokyo 2030: Suddenly, a high-pitched sound can be heard throughout the area, and at the same time, everything is enveloped in a red mist. All those who can hear this sound, whether human or animal, lose consciousness. The government fears it might be a virus and moves its base to Osaka. But when those who lost consciousness awaken six days later, they discover that they now have a strange power. All of them have to face a cruel fate …"
Sasurai no Taiyou,2.88 Mediocre,"Mushi Production Co., Ltd.",,?,~25min,TV-Series,26,1971,"Miki and Nozomi were secretly switched as babies by Michiko, the nurse in charge of the infant ward. Their families are on opposite corners of the social spectrum: while one grows up as an aristocrat’s daughter in a sheltered environment, the other lives in poverty in a run-down slum. Nevertheless, the fates of the two girls remain intertwined, for they both cherish the dream of becoming singers. Of course, they are not aware of the exchange, so the rich Miki treats poor Nozomi very condescendingly."
Nanako SOS,2.88 Mediocre,,,Comedy,~25min,TV-Series,39,1983,"Pink-haired biker Marlow is trying out his latest invention, a machine that can supposedly give a person super-intelligence, when he finds Nanako. She has just been given supernatural powers, but has also lost her memory in the process. The shy young girl, who can suddenly fly or turn into a giant, is recruited by him to assist in his detective work – and earn him a lot of money. With the super genius Marlow and the otaku Iidabashi at her side, Nanako soon embarks on many dangerous and mysterious adventures and fights as a “SuperGirl” against various gangs of criminals."
Baku Tech! Bakugan,2.88 Mediocre,"Shougakukan Music & Digital Entertainment Co., Ltd.",Manga,Ganbatte,~6min,TV-Series,51,2012,
Once upon a Time. . . The Americas,2.69 Mediocre,,Original Work,Indefinite,~25min,TV-Series,26,1991,"Some claim that America was first discovered by Christopher Columbus, while others believe that the Vikings arrived there 500 years earlier. But long before them, there were other settlers on this vast continent. 40,000 years before our current era, when Siberia and Alaska were still connected, and large parts of the north were covered in ice, huge herds of animals migrated eastwards. And behind them, driven by hunger, two friends – young Pierre and his friend Dickie – and their wives and children set off as explorers into the newly won land. But even then, not everyone who follows them is all too peace-loving and honest …"
Grimm’s Fairy Tale Classics,2.72 Mediocre,"Nippon Animation Co., Ltd.",Fairy Tale,Ghost Stories,~24min,TV-Series,24,1987,"“Grimm’s Fairy Tale Classics” shows the Japanese interpretation of the Grimm brothers’ fairy tales. Whether famous or less famous fairy tales – fans will get their money’s worth! Among others, “Puss in Boots”, “Snow White”, “Cinderella” or “Little Red Riding Hood” will be shown."
Area 88 (TV),2.72 Mediocre,"Group Tac Co., Ltd.",Manga,Action,~23min,TV-Series,12,2004,"The government of the sandy desert kingdom of Asran uses mercenary fighter pilots for its war. Stationed at the Area 88 desert airfield, they are paid for every enemy aircraft shot down. Each pilot’s contract runs for three years, and early cancellation costs no less than 1.5 million dollars. Any form of desertion is considered a capital offence and punishable by death. Shin Kazama, a Japanese flying ace, signed such a contract after being deceived by his best friend at the time. He has missed the chance to marry his fiancée, Ryoko Tsugumo, and is now confronted with the horrors of war. Meanwhile, Japanese photojournalist Makoto Shinjou has travelled to document Shin’s ordeal."
Stratos 4,2.69 Mediocre,"Studio Fantasia Co., Ltd.",Original Work,Action Comedy,~23min,TV-Series,13,2003,"It is now 50 years since some scientists discovered that numerous comets will soon be travelling through the solar system and colliding with the Earth. The United Nations therefore set up the Astro Crisis Management Organisation, a multi-stage comet interception system in orbital space that protects the Earth from all dangers. But in 2024, some comet fragments have nevertheless breached the outer protective wall, and so, the units known as Meteor Sweepers have to be deployed once again. These teams consist of young women who serve as the last line of defence within the atmosphere and include the four friends Mikaze, Shizuha, Ayamo and Karin from the Shimojishima base. They carry out their duties dutifully, but as well as protecting ordinary citizens, they would leave no stone unturned to uncover the truth behind the comet."
We without Wings: Under the Innocent Sky,2.68 Mediocre,Nomad Inc.,Visual Novel,Sentimental Drama,~24min,TV-Series,12,2011,"Timid Takashi wants to escape to an alternate world where he is a heralded knight, but is held back by thoughts of his younger sister and his girlfriend. Part-timer and all-around upbeat guy Shuusuke has a disastrous first encounter with a woman who turns out to be his new co-worker. Handyman Hayato is a hard-boiled loner who has random encounters with two gangs and a girl with a uniform fetish."
Arc the Lad,2.69 Mediocre,Bee Train Productions Inc.,Video Game,Adventure,~25min,TV-Series,26,1999,"Elk lives in a world full of contrasts, where magic, cutting-edge technology, monsters and primitive attitudes exist side by side. He comes from a tribe of powerful warriors who have the ability to manipulate flames with their will. When his entire family is killed in an attack by the army of Romalia, he is captured by the soldiers. While being taken to a laboratory for the creation of chimaeras, he manages to escape at the last second. With nowhere to return to, he is eventually found by Shu, who trains him to become a bounty hunter. Not long after, he meets Lieza on one of his journeys, who is a young beastmaster who has the rare gift of controlling monsters and chimaeras. After he rescues her and her pet Paundit, they join forces, but their enemies won’t give up so easily …"
Smile of the Arsnotoria the Animation,2.70 Mediocre,LIDEN FILMS Inc.,Video Game,Slice of Life,~24min,TV-Series,12,2022,"“Smile of the Arsnotoria the Animation”, based on the smartphone game “Warau, Arsnotoria”, is about the five friends Arsnotoria, Mell, Koal, Pica and Ab. The “Pentagrams”, as the five girls are called, attend the magic academy in Ashlam, the magical educational city, to grow up to become true ladies. There, they learn the basics of magic, practise proper manners and etiquette and have a lot of fun together. Even if their different personalities lead to arguments, everything is forgotten after a cup of tea and cake for the friends!"
Sentimental Journey,2.82 Mediocre,SUNRISE Inc.,Visual Novel,?,~24min,TV-Series,12,1998,"For most girls, the first love is bittersweet, though not everyone experiences it the same way. The boy can be a real childhood sweetheart, an old crush, a best friend, or just a brief acquaintance. In this respect, “Sentimental Journey” tells twelve different and unrelated stories, showing love in all facets."
Tonkatsu DJ Agetaro,2.71 Mediocre,"Studio DEEN Co., Ltd.",Manga,Comedy,~9min,TV-Series,12,2016,
